fullPtrType	lastToken
fullPtrType	assert
fullPtrType	tree.extraData
fullPtrType	tree.nodes.items
ptrTypeSimple	intCast
ptrTypeSimple	std.debug.assert
ptrTypeSimple	tree.tokens.items
ptrTypeSimple	tree.firstToken
ptrTypeSimple	lastToken
ptrTypeSimple	fullPtrType
ptrTypeSimple	assert
ptrTypeSimple	tree.extraData
ptrTypeSimple	tree.nodes.items
ptrTypeSentinel	intCast
ptrTypeSentinel	std.debug.assert
ptrTypeSentinel	tree.tokens.items
ptrTypeSentinel	tree.firstToken
ptrTypeSentinel	lastToken
ptrTypeSentinel	fullPtrType
ptrTypeSentinel	assert
ptrTypeSentinel	tree.extraData
ptrTypeSentinel	tree.nodes.items
ptrTypeAligned	intCast
ptrTypeAligned	std.debug.assert
ptrTypeAligned	tree.tokens.items
ptrTypeAligned	tree.firstToken
ptrTypeAligned	lastToken
ptrTypeAligned	fullPtrType
ptrTypeAligned	assert
ptrTypeAligned	tree.extraData
ptrTypeAligned	tree.nodes.items
ptrTypeBitRange	intCast
ptrTypeBitRange	std.debug.assert
ptrTypeBitRange	tree.tokens.items
ptrTypeBitRange	tree.firstToken
ptrTypeBitRange	lastToken
ptrTypeBitRange	fullPtrType
ptrTypeBitRange	assert
ptrTypeBitRange	tree.extraData
ptrTypeBitRange	tree.nodes.items
fullIf	intCast
fullIf	std.debug.assert
fullIf	tree.tokens.items
fullIf	lastToken
fullIf	tree.extraData
fullIf	tree.nodes.items
ifFull	intCast
ifFull	std.debug.assert
ifFull	tree.tokens.items
ifFull	lastToken
ifFull	assert
ifFull	tree.extraData
ifFull	tree.nodes.items
ifFull	fullIf
fullWhile	intCast
fullWhile	std.debug.assert
fullWhile	tree.tokens.items
fullWhile	lastToken
fullWhile	tree.extraData
fullWhile	tree.nodes.items
whileSimple	intCast
whileSimple	std.debug.assert
whileSimple	tree.tokens.items
whileSimple	lastToken
whileSimple	tree.extraData
whileSimple	tree.nodes.items
whileSimple	fullWhile
whileCont	intCast
whileCont	std.debug.assert
whileCont	tree.tokens.items
whileCont	lastToken
whileCont	tree.extraData
whileCont	tree.nodes.items
whileCont	fullWhile
whileFull	intCast
whileFull	std.debug.assert
whileFull	tree.tokens.items
whileFull	lastToken
whileFull	tree.extraData
whileFull	tree.nodes.items
whileFull	fullWhile
forSimple	intCast
forSimple	std.debug.assert
forSimple	tree.tokens.items
forSimple	lastToken
forSimple	tree.extraData
